text,label,category
"Hey, let's catch up this weekend. Are you free on Saturday?",0,chat
"IRCTC: PNR 377626073 confirmed. Coach A1, Berth 33. Please carry a valid original photo ID during travel.",0,travel
"IRCTC: PNR 415096272 confirmed. Coach S4, Berth 56. Please carry a valid original photo ID during travel.",0,travel
"Paytm: Pending refund of ₹4,999 failed. Complete OTP verification at http://paytm-refund.cc to credit money.",1,refund
"IRCTC: PNR 785617461 confirmed. Coach S5, Berth 36. Please carry a valid original photo ID during travel.",0,travel
Team meeting rescheduled to tomorrow at 11 AM. Link is on Google Calendar.,0,chat
"PhonePe: Pending refund of ₹12,500 failed. Complete OTP verification at http://phonepe-refund.xyz to credit money.",1,refund
Urgent notice from Telecom Authority: Legal case registered under your ID. Call investigation officer 9782407887 within 2 hours to avoid arrest.,1,police_threat
Your order #504494 from Ola has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
Your order #116535 from Blinkit has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 442691653 confirmed. Coach S4, Berth 38. Please carry a valid original photo ID during travel.",0,travel
"IRCTC: PNR 846336984 confirmed. Coach B2, Berth 26. Please carry a valid original photo ID during travel.",0,travel
"Thanks for the help yesterday, really appreciate it!",0,chat
Happy anniversary to you both! Have an amazing celebration.,0,chat
Urgent notice from Cyber Cell: Legal case registered under your ID. Call investigation officer 9598626972 within 2 hours to avoid arrest.,1,police_threat
"Your ICICI Account XX2648 is debited by INR 2,499.00 at Ola. Avl Bal: INR 34,047.00. Report unauthorized: 1800112211.",0,bank_normal
"Dear consumer, power supply will be cut off tonight at 9:30 PM for non-payment of electricity bill. Call electricity desk 9986138048 immediately.",1,utility
531544 is your secret one time password (OTP) for logging into Zomato. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
FedEx: Package delivery paused due to incomplete home address. Pay Rs 19 redelivery fee at http://fedex-reschedule.xyz,1,delivery
"Your PNB Account XX4446 is debited by INR 890.00 at Uber. Avl Bal: INR 78,633.00. Report unauthorized: 1800112211.",0,bank_normal
"IRCTC: PNR 328861172 confirmed. Coach B3, Berth 60. Please carry a valid original photo ID during travel.",0,travel
India Post: Package delivery paused due to incomplete home address. Pay ₹10 redelivery fee at http://indiapost-reschedule.info,1,delivery
"Dear consumer, power supply will be cut off tonight at 9:30 PM for non-payment of electricity bill. Call electricity desk 9949000906 immediately.",1,utility
"IRCTC: PNR 728079925 confirmed. Coach B2, Berth 42. Please carry a valid original photo ID during travel.",0,travel
FedEx: Package delivery paused due to incomplete home address. Pay Rs 35 redelivery fee at http://fedex-reschedule.xyz,1,delivery
"IRCTC: PNR 128905854 confirmed. Coach B3, Berth 43. Please carry a valid original photo ID during travel.",0,travel
457820 is your secret one time password (OTP) for logging into Swiggy. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Congratulations! Your mobile number won Tata Harrier SUV in nationwide lucky draw! Call manager at 9177139897 to claim your prize.,1,lottery
Your order #603623 from Uber has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 704101477 confirmed. Coach B2, Berth 52. Please carry a valid original photo ID during travel.",0,travel
900322 is your secret one time password (OTP) for logging into Myntra. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
Your order #690176 from Uber has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
India Post: Package delivery paused due to incomplete home address. Pay ₹10 redelivery fee at http://indiapost-reschedule.xyz,1,delivery
"IRCTC: PNR 928860016 confirmed. Coach A1, Berth 32. Please carry a valid original photo ID during travel.",0,travel
"Paytm: Pending refund of Rs 2,50,000 failed. Complete OTP verification at http://paytm-refund.online to credit money.",1,refund
734322 is your secret one time password (OTP) for logging into IRCTC. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 368487511 confirmed. Coach S5, Berth 44. Please carry a valid original photo ID during travel.",0,travel
Alert from Kotak: Your account 7318 is restricted. Update your KYC before 9 PM tonight at http://kotak-account-reactivate.xyz.,1,bank_kyc
Your order #550415 from Flipkart has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
322128 is your secret one time password (OTP) for logging into Amazon. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
572243 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"IRCTC: PNR 546101043 confirmed. Coach B2, Berth 41. Please carry a valid original photo ID during travel.",0,travel
Your order #686056 from Flipkart has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"Congratulations! Your mobile number won ₹25,00,000 in nationwide lucky draw! Call manager at 9860213351 to claim your prize.",1,lottery
"Congratulations! Your mobile number won ₹25,00,000 in nationwide lucky draw! Call manager at 9118317940 to claim your prize.",1,lottery
Can you please pick up some bread and eggs on your way back home?,0,chat
926434 is your secret one time password (OTP) for logging into Uber. Valid for 5 minutes. Do not share with anyone.,0,otp_normal
"Congratulations! Your mobile number won ₹50,00,000 in nationwide lucky draw! Call manager at 9651970115 to claim your prize.",1,lottery
Your order #755915 from Zepto has been dispatched. Track in your app or thank your delivery agent.,0,ecommerce
"IRCTC: PNR 426846954 confirmed. Coach B1, Berth 20. Please carry a valid original photo ID during travel.",0,travel
Urgent notice from Cyber Cell: Legal case registered under your ID. Call investigation officer 9430511457 within 2 hours to avoid arrest.,1,police_threat
"Your ICICI Account XX5239 is debited by INR 150.00 at Ola. Avl Bal: INR 53,624.00. Report unauthorized: 1800112211.",0,bank_normal
Alert from Axis Bank: Your account 4927 is restricted. Update your KYC within 24 hours at http://axisbank-secure-verify.pw.,1,bank_kyc
